year,permno,ticker,comnam,age,div12m_me,ffo_at_reit,beta,lnmcap,ret12,ret
2011,13003,ARCP,AMERICAN REALTY CAPITAL PROP INC,12.0,,,,11.144347503444624,-0.0883755570049998,-0.0883755570049998
2012,13003,VER,VEREIT INC,24.0,0.05335693,-0.0041067513323729,,11.592359334350045,0.3739484049518011,0.3739484049518011
2013,13003,VER,VEREIT INC,36.0,0.033629958,-0.0121374306811961,-0.1837493808282014,14.29753889444182,0.0361904985226089,0.0361904985226089
2014,13003,VER,VEREIT INC,48.0,0.057589084,-0.0085479051852225,-0.0777594710252608,16.054195399355198,-0.230084506330041,-0.230084506330041
2015,13003,VER,VEREIT INC,60.0,0.058258373,0.00566438634058,0.0944911147002274,15.87311292537924,-0.0936964304670215,-0.0936964304670215
2016,13003,VER,VEREIT INC,72.0,0.049232677,0.0080581596875322,0.3574186660478674,15.96463571835991,0.1320894366625873,0.1320894366625873
2017,13003,VER,VEREIT INC,84.0,0.06575234,0.009066359507935,0.5227626803282907,15.902712724945305,-0.0156751619025128,-0.0156751619025128
2018,13003,VER,VEREIT INC,96.0,0.07604379,0.0110487198110097,0.5292934456184274,15.77144087119808,-0.0100525161456641,-0.0100525161456641
2019,13003,VER,VEREIT INC,108.0,0.060215876,0.0081836626134122,0.5052492215835516,16.012445492085597,0.372560772421151,0.372560772421151
2020,13003,VER,VEREIT INC,120.0,0.07362821,0.0083427802460496,0.8908005087208911,15.787041794190932,-0.1301929607200521,-0.1301929607200521
2021,13003,VER,VEREIT INC,130.0,0.037773103,0.0103912691702068,0.9445510749757918,16.13517291754522,0.3745735262206116,0.3745735262206116
2012,13134,RSE,ROUSE PROPERTIES INC,552.0,0.008799134,0.0036388022314271,,13.392752919866073,0.3822713205238515,0.3822713205238515
2013,13134,RSE,ROUSE PROPERTIES INC,564.0,0.017525485,0.0026137039803193,1.3884345024478697,13.793535488746883,0.3422611624963569,0.3422611624963569
2014,13134,RSE,ROUSE PROPERTIES INC,576.0,0.03166149,0.0056335938019607,1.5124293095925732,13.818059446163176,-0.1340070806361396,-0.1340070806361396
2015,13134,RSE,ROUSE PROPERTIES INC,588.0,0.041289512,0.0072795408367202,1.1689255066169886,13.791228214001816,-0.1818975714367439,-0.1818975714367439
2016,13134,RSE,ROUSE PROPERTIES INC,594.0,0.034701858,0.0084842388810148,0.667492294931857,13.867100089652633,0.2664082668986112,0.2664082668986112
2012,13320,ARCT,AMERICAN REALTY CAPITAL TR INC,60.0,,0.0117105121888497,,14.399648734945025,0.1775751843782829,0.1775751843782829
2012,13358,RPAI,RETAIL PROPERTIES OF AMERICA INC,36.0,,0.0082371028357984,,13.81531656604478,0.383749782161932,0.383749782161932
2013,13358,RPAI,RETAIL PROPERTIES OF AMERICA INC,48.0,0.03470694,0.010642709019978,0.2899459734608819,14.704002431336034,0.1144162023931791,0.1144162023931791
2014,13358,RPAI,RETAIL PROPERTIES OF AMERICA INC,60.0,0.040940154,0.0146953879333336,0.3568792759815906,15.075910213361832,0.371092605598454,0.371092605598454
2015,13358,RPAI,RETAIL PROPERTIES OF AMERICA INC,72.0,0.04407658,0.0126993098778821,0.265989772024637,15.08697898912699,-0.0743467133129485,-0.0743467133129485
2016,13358,RPAI,RETAIL PROPERTIES OF AMERICA INC,84.0,0.041417323,0.0128283871131869,0.2905603834045545,15.15048232826495,0.0809301050868551,0.0809301050868551
2017,13358,RPAI,RETAIL PROPERTIES OF AMERICA INC,96.0,0.05030929,0.0105104170954065,0.3322509819881022,14.954210349883924,-0.0787572233915187,-0.0787572233915187
2018,13358,RPAI,RETAIL PROPERTIES OF AMERICA INC,108.0,0.056398287,0.0138021757014241,0.2822528809957328,14.79104384893524,-0.146457802206256,-0.146457802206256
2019,13358,RPAI,RETAIL PROPERTIES OF AMERICA INC,120.0,0.053582046,0.0151623000856076,0.5451748775028203,14.799354979905004,0.3025544413852716,0.3025544413852716
2020,13358,RPAI,RETAIL PROPERTIES OF AMERICA INC,132.0,0.07632683,0.0147409908597079,1.2127507874992565,14.219323656200755,-0.3304023323299598,-0.3304023323299598
2021,13358,RPAI,RETAIL PROPERTIES OF AMERICA INC,141.0,0.020758348,0.01082502788225,1.6904643875078516,14.719666204273052,0.5335522380152786,0.5335522380152786
2017,13429,ALEX,ALEXANDER & BALDWIN INC NEW,84.0,0.09980782,0.0061475315632247,1.4474330723252722,14.50894534696602,-0.0307456469728584,-0.0307456469728584
2018,13429,ALEX,ALEXANDER & BALDWIN INC NEW,96.0,0.40024933,0.0037755456052844,1.4490712714427758,14.286044115814253,-0.3373641401893568,-0.3373641401893568
2019,13429,ALEX,ALEXANDER & BALDWIN INC NEW,108.0,0.014998355,0.0184812645180462,1.3164148762885324,14.32925383294918,0.1747864625840294,0.1747864625840294
2020,13429,ALEX,ALEXANDER & BALDWIN INC NEW,120.0,0.0384206,-8.826226261894566e-05,1.2862369050093154,13.81180764277297,-0.1593678925203998,-0.1593678925203998
2021,13429,ALEX,ALEXANDER & BALDWIN INC NEW,132.0,0.022570254,0.0059138137872207,1.2187632198387452,14.180593584995709,0.5085893756571893,0.5085893756571893
2022,13429,ALEX,ALEXANDER & BALDWIN INC NEW,144.0,0.03747492,0.009086867697987,1.2028511782699791,14.18969393475616,-0.2197554787931079,-0.2197554787931079
2023,13429,ALEX,ALEXANDER & BALDWIN INC NEW,156.0,0.047713835,0.0101441245705368,1.1542733701948202,14.095601108995524,0.0653874373022838,0.0653874373022838
2024,13429,ALEX,ALEXANDER & BALDWIN INC NEW,168.0,0.04976678,0.0132111447476026,1.1124491145995477,14.07574456185489,-0.0188821080376734,-0.0188821080376734
2012,13439,HR,HEALTHCARE REALTY TRUST INC NEW,36.0,,0.011003435877988,,13.109211611204303,0.0274168348893812,0.0274168348893812
2013,13439,HTA,HEALTHCARE TRUST OF AMERICA INC,48.0,0.033280358,0.0096137262678702,,14.239855619391014,0.0479551416597514,0.0479551416597514
2014,13439,HTA,HEALTHCARE TRUST OF AMERICA INC,60.0,0.04148087,0.0145692301625023,0.3496627599245371,14.870553141981029,0.4353992813098788,0.4353992813098788
2015,13439,HTA,HEALTHCARE TRUST OF AMERICA INC,72.0,0.043690726,0.013278501083412,0.1760309296776019,15.002269610468131,0.0473286650646351,0.0473286650646351
2016,13439,HTA,HEALTHCARE TRUST OF AMERICA INC,84.0,0.037210193,0.014951687952032,0.1439689962644644,15.236965737455751,0.1218574037668969,0.1218574037668969
2017,13439,HTA,HEALTHCARE TRUST OF AMERICA INC,96.0,0.039277144,0.0154790355020579,0.1389187514851634,15.516246897854858,0.083572793303599,0.083572793303599
2018,13439,HTA,HEALTHCARE TRUST OF AMERICA INC,108.0,0.043883756,0.0120543708854036,0.1442101062384155,15.514066258781684,-0.1167307221918216,-0.1167307221918216
2019,13439,HTA,HEALTHCARE TRUST OF AMERICA INC,120.0,0.043109566,0.0133224467004168,0.315506695736528,15.594253458936937,0.2492687562392455,0.2492687562392455
2020,13439,HTA,HEALTHCARE TRUST OF AMERICA INC,132.0,0.044770047,0.0126564319441812,0.4746184703565286,15.57696704772566,-0.0561172497291352,-0.0561172497291352
2021,13439,HTA,HEALTHCARE TRUST OF AMERICA INC,144.0,0.045217272,0.0129921599977775,0.5233063399407331,15.683410162404927,0.2675144558109548,0.2675144558109548
2022,13439,HTA,HEALTHCARE TRUST OF AMERICA INC,360.0,0.1540734,0.0138549171804444,0.5457955346531614,15.837981406860266,-0.2809915987527246,-0.2809915987527246
2023,13439,HTA,HEALTHCARE TRUST OF AMERICA INC,372.0,0.1906203,0.0088291565919973,0.6472737067993585,15.737036862290106,-0.0408529610557429,-0.0408529610557429
2024,13439,HTA,HEALTHCARE TRUST OF AMERICA INC,384.0,0.07941887,0.0068305857174303,0.7221774249924637,15.617009162737274,0.0606483762053371,0.0606483762053371
2012,13500,AMRE,AMREIT INC NEW,156.0,,0.0109949738994416,,11.066537788893,0.2479722477063679,0.2479722477063679
2013,13500,AMRE,AMREIT INC NEW,168.0,0.021925852,0.010174987485909,,12.357135383419022,0.0236014788154397,0.0236014788154397
2014,13500,AMRE,AMREIT INC NEW,180.0,0.03727081,0.0120056419566199,0.0499679631294385,12.906530066692044,0.642424162876015,0.642424162876015
2015,13500,AMRE,AMREIT INC NEW,181.0,0.030072208,0.0095919504212798,-0.1936967413500077,13.167771256662936,0.0015,0.0015
2012,13580,SRC,SPIRIT REALTY CAPITAL INC,120.0,,,,14.122198505847711,0.16860473576,0.16860473576
2013,13580,SRC,SPIRIT REALTY CAPITAL INC,126.0,,0.003324797861479,,14.323200490448388,0.0309262604881541,0.0309262604881541
2012,13700,WHLR,WHEELER REAL ESTATE INV TR INC,36.0,,,,9.904620901086131,0.0347999999999999,0.0347999999999999
2013,13700,WHLR,WHEELER REAL ESTATE INV TR INC,48.0,0.05848317,-0.0042232488052357,,10.03560726006788,-0.2447854479674541,-0.2447854479674541
2014,13700,WHLR,WHEELER REAL ESTATE INV TR INC,60.0,0.08290345,-0.0033443398686267,0.6922176427900893,10.41642125375086,0.0118414388615268,0.0118414388615268
2015,13700,WHLR,WHEELER REAL ESTATE INV TR INC,72.0,0.08827123,-0.0061624045564421,0.9787083459350208,10.986441873432646,-0.4567910173818208,-0.4567910173818208
2016,13700,WHLR,WHEELER REAL ESTATE INV TR INC,84.0,0.12551358,-0.0007557375539892,1.1121676595172036,11.5484246810161,0.0097771667990749,0.0097771667990749
2017,13700,WHLR,WHEELER REAL ESTATE INV TR INC,96.0,0.13308193,0.0058599270585615,1.2741092104886789,11.47451524292987,-0.1681008173324747,-0.1681008173324747
2018,13700,WHLR,WHEELER REAL ESTATE INV TR INC,107.0,0.17187637,0.0056126631175666,1.5875215038015598,10.566720495197284,-0.6042861370447684,-0.6042861370447684
2019,13700,WHLR,WHEELER REAL ESTATE INV TR INC,120.0,0.0,0.0078294265897275,3.58610450865195,9.713519185912594,0.840341861997,0.840341861997
2020,13700,WHLR,WHEELER REAL ESTATE INV TR INC,132.0,0.0,0.0069980764080141,2.9332791836520524,9.921586681222946,1.0233536316810323,1.0233536316810323
2021,13700,WHLR,WHEELER REAL ESTATE INV TR INC,144.0,0.0,0.0073478313237191,2.6071930910274443,10.314404544461125,-0.2997341279166838,-0.2997341279166838
2022,13700,WHLR,WHEELER REAL ESTATE INV TR INC,156.0,0.0,0.0029376262955517,2.479610749899585,9.842558620027884,-0.2801581746594274,-0.2801581746594274
2023,13700,WHLR,WHEELER REAL ESTATE INV TR INC,160.0,0.0,0.0066064956676305,2.394307022812375,9.529575215823334,-0.1476799700153499,-0.1476799700153499
2012,13723,RESI,ALTISOURCE RESIDENTIAL CORP,12.0,,,,11.72287775287837,0.0,0.0
2013,13723,RESI,FRONT YARD RESIDENTIAL CORP,24.0,0.006141869,-0.008303510040019,,13.0441996805053,0.924890412276145,0.924890412276145
2014,13723,RESI,FRONT YARD RESIDENTIAL CORP,36.0,0.04730816,0.0186761952274707,2.005306268636162,14.18250940262873,-0.2999380067731604,-0.2999380067731604
